Date,equity
2025-10-06 00:00:00+00:00,1.0
2025-10-07 00:00:00+00:00,1.0
2025-10-08 00:00:00+00:00,1.0
2025-10-09 00:00:00+00:00,1.0
2025-10-10 00:00:00+00:00,1.0
2025-10-13 00:00:00+00:00,1.0
2025-10-14 00:00:00+00:00,1.0
2025-10-15 00:00:00+00:00,1.0
2025-10-16 00:00:00+00:00,1.0
2025-10-17 00:00:00+00:00,1.0
2025-10-20 00:00:00+00:00,1.0
2025-10-21 00:00:00+00:00,1.0
2025-10-22 00:00:00+00:00,1.0
2025-10-23 00:00:00+00:00,1.0
2025-10-24 00:00:00+00:00,1.0
2025-10-27 00:00:00+00:00,1.0
2025-10-28 00:00:00+00:00,1.0
2025-10-29 00:00:00+00:00,1.0
2025-10-30 00:00:00+00:00,1.0
2025-10-31 00:00:00+00:00,1.0
2025-11-03 00:00:00+00:00,1.0
2025-11-04 00:00:00+00:00,1.0
2025-11-06 00:00:00+00:00,1.0
